label,nr_errors,total,perc. errors
Product/name,2.0,38,0.05263157894736842
PostalAddress,1.0,1,1.0
streetAddress,0.0,1,0.0
Movie/description,0.0,11,0.0
Product/description,3.0,17,0.17647058823529413
unitText,0.0,10,0.0
Date,2.0,26,0.07692307692307693
Restaurant/name,1.0,21,0.047619047619047616
DateTime,0.0,3,0.0
ProductModel,4.0,10,0.4
URL,3.0,21,0.14285714285714285
Review,1.0,25,0.04
addressLocality,1.0,2,0.5
Distance,2.0,25,0.08
price,3.0,30,0.1
Book/name,2.0,32,0.0625
postalCode,0.0,1,0.0
telephone,0.0,3,0.0
Boolean,1.0,8,0.125
weight,10.0,40,0.25
Person/name,4.0,15,0.26666666666666666
Book/description,0.0,11,0.0
IdentifierAT,9.0,17,0.5294117647058824
DeliveryMethod,0.0,10,0.0
OfferItemCondition,2.0,21,0.09523809523809523
Country,2.0,4,0.5
Number,3.0,20,0.15
Time,1.0,16,0.0625
ItemList,2.0,10,0.2
Duration,20.0,41,0.4878048780487805
ItemAvailability,0.0,28,0.0
DayOfWeek,0.0,6,0.0
openingHours,0.0,5,0.0
Language,0.0,24,0.0
BookFormatType,1.0,23,0.043478260869565216
priceRange,2.0,10,0.2
RestrictedDiet,2.0,11,0.18181818181818182
Mass,0.0,29,0.0
Recipe/description,1.0,12,0.08333333333333333
Photograph,9.0,18,0.5
currency,3.0,31,0.0967741935483871
Energy,0.0,14,0.0
Recipe/name,0.0,10,0.0
QuantitativeValue,10.0,11,0.9090909090909091
Rating,0.0,20,0.0
category,1.0,23,0.043478260869565216
paymentAccepted,0.0,3,0.0
unitCode,11.0,13,0.8461538461538461
Brand,1.0,11,0.09090909090909091
Movie/name,1.0,32,0.03125
