label,nr_errors,total,perc. errors
Recipe/description,0.0,12,0.0
Rating,1.0,20,0.05
OfferItemCondition,0.0,21,0.0
IdentifierAT,2.0,17,0.11764705882352941
DeliveryMethod,0.0,10,0.0
unitText,1.0,10,0.1
BookFormatType,1.0,23,0.043478260869565216
RestrictedDiet,2.0,11,0.18181818181818182
weight,10.0,40,0.25
Person/name,1.0,15,0.06666666666666667
Photograph,1.0,18,0.05555555555555555
ProductModel,6.0,10,0.6
Movie/description,0.0,11,0.0
PostalAddress,0.0,1,0.0
openingHours,1.0,5,0.2
Mass,11.0,29,0.3793103448275862
Review,2.0,25,0.08
ItemAvailability,0.0,28,0.0
Country,0.0,4,0.0
priceRange,1.0,10,0.1
addressLocality,0.0,2,0.0
Brand,2.0,11,0.18181818181818182
Date,3.0,26,0.11538461538461539
Number,14.0,20,0.7
Distance,17.0,25,0.68
URL,1.0,21,0.047619047619047616
Recipe/name,0.0,10,0.0
postalCode,0.0,1,0.0
paymentAccepted,0.0,3,0.0
DayOfWeek,0.0,6,0.0
Product/description,0.0,17,0.0
unitCode,0.0,13,0.0
QuantitativeValue,2.0,11,0.18181818181818182
Book/name,0.0,32,0.0
Restaurant/name,1.0,21,0.047619047619047616
currency,1.0,31,0.03225806451612903
Book/description,1.0,11,0.09090909090909091
Time,13.0,16,0.8125
Movie/name,1.0,32,0.03125
telephone,0.0,3,0.0
Language,4.0,24,0.16666666666666666
Energy,8.0,14,0.5714285714285714
category,3.0,23,0.13043478260869565
price,5.0,30,0.16666666666666666
Duration,2.0,41,0.04878048780487805
Boolean,0.0,8,0.0
ItemList,1.0,10,0.1
Product/name,3.0,38,0.07894736842105263
streetAddress,1.0,1,1.0
DateTime,0.0,3,0.0
