label,nr_errors,total,perc. errors
Person/name,4.0,15,0.26666666666666666
BookFormatType,4.0,23,0.17391304347826086
Boolean,1.0,8,0.125
Duration,3.0,41,0.07317073170731707
Photograph,2.0,18,0.1111111111111111
ItemList,4.0,10,0.4
unitCode,12.0,13,0.9230769230769231
Movie/name,0.0,32,0.0
Product/name,7.0,38,0.18421052631578946
category,15.0,23,0.6521739130434783
Time,14.0,16,0.875
DateTime,0.0,3,0.0
Rating,1.0,20,0.05
unitText,7.0,10,0.7
Recipe/description,0.0,12,0.0
weight,22.0,40,0.55
paymentAccepted,0.0,3,0.0
Language,7.0,24,0.2916666666666667
Review,10.0,25,0.4
openingHours,1.0,5,0.2
Energy,7.0,14,0.5
addressLocality,0.0,2,0.0
telephone,0.0,3,0.0
Restaurant/name,1.0,21,0.047619047619047616
Movie/description,0.0,11,0.0
URL,2.0,21,0.09523809523809523
PostalAddress,1.0,1,1.0
ProductModel,9.0,10,0.9
Book/name,6.0,32,0.1875
Date,2.0,26,0.07692307692307693
Mass,1.0,29,0.034482758620689655
DeliveryMethod,0.0,10,0.0
priceRange,2.0,10,0.2
Recipe/name,0.0,10,0.0
Product/description,2.0,17,0.11764705882352941
Book/description,0.0,11,0.0
ItemAvailability,6.0,28,0.21428571428571427
Country,2.0,4,0.5
currency,5.0,31,0.16129032258064516
DayOfWeek,1.0,6,0.16666666666666666
RestrictedDiet,4.0,11,0.36363636363636365
Number,16.0,20,0.8
Distance,19.0,25,0.76
price,4.0,30,0.13333333333333333
IdentifierAT,3.0,17,0.17647058823529413
streetAddress,0.0,1,0.0
postalCode,1.0,1,1.0
QuantitativeValue,10.0,11,0.9090909090909091
OfferItemCondition,12.0,21,0.5714285714285714
Brand,4.0,11,0.36363636363636365
