label,nr_errors,total,perc. errors
Review,8.0,25,0.32
weight,19.0,40,0.475
currency,5.0,31,0.16129032258064516
postalCode,0.0,1,0.0
Rating,1.0,20,0.05
URL,2.0,21,0.09523809523809523
Product/description,0.0,17,0.0
unitText,8.0,10,0.8
Recipe/name,0.0,10,0.0
DeliveryMethod,0.0,10,0.0
DayOfWeek,3.0,6,0.5
addressLocality,0.0,2,0.0
DateTime,1.0,3,0.3333333333333333
openingHours,1.0,5,0.2
telephone,0.0,3,0.0
RestrictedDiet,3.0,11,0.2727272727272727
PostalAddress,0.0,1,0.0
Brand,2.0,11,0.18181818181818182
Book/description,0.0,11,0.0
IdentifierAT,4.0,17,0.23529411764705882
Number,16.0,20,0.8
Person/name,4.0,15,0.26666666666666666
Product/name,2.0,38,0.05263157894736842
Movie/name,1.0,32,0.03125
QuantitativeValue,10.0,11,0.9090909090909091
Mass,2.0,29,0.06896551724137931
Book/name,3.0,32,0.09375
Distance,18.0,25,0.72
Photograph,4.0,18,0.2222222222222222
Recipe/description,0.0,12,0.0
category,15.0,23,0.6521739130434783
OfferItemCondition,15.0,21,0.7142857142857143
Boolean,1.0,8,0.125
Energy,8.0,14,0.5714285714285714
Time,11.0,16,0.6875
Date,1.0,26,0.038461538461538464
BookFormatType,4.0,23,0.17391304347826086
ItemAvailability,11.0,28,0.39285714285714285
Restaurant/name,1.0,21,0.047619047619047616
paymentAccepted,0.0,3,0.0
Movie/description,0.0,11,0.0
Duration,19.0,41,0.4634146341463415
ItemList,6.0,10,0.6
streetAddress,1.0,1,1.0
Language,6.0,24,0.25
priceRange,2.0,10,0.2
ProductModel,6.0,10,0.6
price,4.0,30,0.13333333333333333
Country,3.0,4,0.75
unitCode,12.0,13,0.9230769230769231
