label,nr_errors,total,perc. errors
Restaurant/name,1.0,21,0.047619047619047616
DayOfWeek,2.0,6,0.3333333333333333
IdentifierAT,4.0,17,0.23529411764705882
Review,11.0,25,0.44
price,6.0,30,0.2
Person/name,5.0,15,0.3333333333333333
postalCode,1.0,1,1.0
priceRange,3.0,10,0.3
Language,8.0,24,0.3333333333333333
ItemList,10.0,10,1.0
addressLocality,0.0,2,0.0
Date,2.0,26,0.07692307692307693
paymentAccepted,0.0,3,0.0
Energy,13.0,14,0.9285714285714286
telephone,0.0,3,0.0
Brand,4.0,11,0.36363636363636365
Duration,3.0,41,0.07317073170731707
ProductModel,10.0,10,1.0
Product/name,6.0,38,0.15789473684210525
Time,13.0,16,0.8125
weight,20.0,40,0.5
BookFormatType,7.0,23,0.30434782608695654
Movie/name,1.0,32,0.03125
unitCode,13.0,13,1.0
streetAddress,1.0,1,1.0
Mass,23.0,29,0.7931034482758621
Country,3.0,4,0.75
Distance,25.0,25,1.0
Recipe/name,0.0,10,0.0
category,14.0,23,0.6086956521739131
Boolean,1.0,8,0.125
currency,3.0,31,0.0967741935483871
URL,2.0,21,0.09523809523809523
DateTime,0.0,3,0.0
DeliveryMethod,4.0,10,0.4
openingHours,1.0,5,0.2
Book/name,4.0,32,0.125
RestrictedDiet,3.0,11,0.2727272727272727
OfferItemCondition,15.0,21,0.7142857142857143
Movie/description,0.0,11,0.0
PostalAddress,1.0,1,1.0
unitText,6.0,10,0.6
QuantitativeValue,10.0,11,0.9090909090909091
Rating,2.0,20,0.1
Book/description,0.0,11,0.0
ItemAvailability,15.0,28,0.5357142857142857
Number,20.0,20,1.0
Product/description,2.0,17,0.11764705882352941
Photograph,2.0,18,0.1111111111111111
Recipe/description,1.0,12,0.08333333333333333
