label,nr_errors,total,perc. errors
postalCode,0.0,1,0.0
streetAddress,1.0,1,1.0
Country,2.0,4,0.5
ItemList,5.0,10,0.5
Distance,5.0,25,0.2
Language,2.0,24,0.08333333333333333
BookFormatType,3.0,23,0.13043478260869565
Number,8.0,20,0.4
Energy,5.0,14,0.35714285714285715
paymentAccepted,1.0,3,0.3333333333333333
Photograph,11.0,18,0.6111111111111112
URL,5.0,21,0.23809523809523808
Product/name,3.0,38,0.07894736842105263
Restaurant/name,1.0,21,0.047619047619047616
telephone,1.0,3,0.3333333333333333
Date,8.0,26,0.3076923076923077
Brand,1.0,11,0.09090909090909091
unitCode,8.0,13,0.6153846153846154
Time,6.0,16,0.375
Duration,21.0,41,0.5121951219512195
DayOfWeek,0.0,6,0.0
category,3.0,23,0.13043478260869565
Book/name,3.0,32,0.09375
priceRange,1.0,10,0.1
ProductModel,5.0,10,0.5
price,3.0,30,0.1
Mass,12.0,29,0.41379310344827586
weight,12.0,40,0.3
Movie/description,0.0,11,0.0
PostalAddress,0.0,1,0.0
DeliveryMethod,1.0,10,0.1
OfferItemCondition,3.0,21,0.14285714285714285
Book/description,0.0,11,0.0
Recipe/description,2.0,12,0.16666666666666666
currency,2.0,31,0.06451612903225806
ItemAvailability,2.0,28,0.07142857142857142
Person/name,9.0,15,0.6
DateTime,0.0,3,0.0
RestrictedDiet,3.0,11,0.2727272727272727
Recipe/name,0.0,10,0.0
addressLocality,1.0,2,0.5
Rating,0.0,20,0.0
unitText,4.0,10,0.4
QuantitativeValue,9.0,11,0.8181818181818182
IdentifierAT,9.0,17,0.5294117647058824
openingHours,1.0,5,0.2
Review,8.0,25,0.32
Boolean,3.0,8,0.375
Movie/name,1.0,32,0.03125
Product/description,3.0,17,0.17647058823529413
