label,nr_errors,total,perc. errors
Review,1.0,25,0.04
DeliveryMethod,1.0,10,0.1
telephone,1.0,3,0.3333333333333333
Duration,21.0,41,0.5121951219512195
openingHours,1.0,5,0.2
Photograph,7.0,18,0.3888888888888889
ItemList,5.0,10,0.5
unitCode,13.0,13,1.0
Boolean,3.0,8,0.375
addressLocality,0.0,2,0.0
Movie/description,1.0,11,0.09090909090909091
Language,1.0,24,0.041666666666666664
Movie/name,1.0,32,0.03125
streetAddress,1.0,1,1.0
Date,7.0,26,0.2692307692307692
unitText,3.0,10,0.3
Mass,8.0,29,0.27586206896551724
paymentAccepted,1.0,3,0.3333333333333333
weight,11.0,40,0.275
QuantitativeValue,8.0,11,0.7272727272727273
PostalAddress,0.0,1,0.0
OfferItemCondition,4.0,21,0.19047619047619047
Rating,1.0,20,0.05
Time,6.0,16,0.375
BookFormatType,1.0,23,0.043478260869565216
DayOfWeek,0.0,6,0.0
Recipe/description,4.0,12,0.3333333333333333
Country,3.0,4,0.75
Product/name,4.0,38,0.10526315789473684
IdentifierAT,10.0,17,0.5882352941176471
ProductModel,4.0,10,0.4
price,7.0,30,0.23333333333333334
priceRange,1.0,10,0.1
Brand,2.0,11,0.18181818181818182
ItemAvailability,4.0,28,0.14285714285714285
URL,6.0,21,0.2857142857142857
postalCode,0.0,1,0.0
Number,12.0,20,0.6
Restaurant/name,1.0,21,0.047619047619047616
Book/name,3.0,32,0.09375
Recipe/name,0.0,10,0.0
RestrictedDiet,3.0,11,0.2727272727272727
Book/description,1.0,11,0.09090909090909091
Person/name,3.0,15,0.2
DateTime,0.0,3,0.0
Energy,4.0,14,0.2857142857142857
Product/description,5.0,17,0.29411764705882354
Distance,5.0,25,0.2
currency,1.0,31,0.03225806451612903
category,4.0,23,0.17391304347826086
